user,text,date,emotion,sentiment,LLM,ML
@R3ARAU7O,Cansado,"Jan 6, 2024 · 3:44 AM UTC",sleepy,sad,NEGATIVO,NEGATIVO
@Pulpito_1,Nada mas satisfactorio que darse cuenta de todo lo que has logrado,"Jan 6, 2024 · 3:05 AM UTC",successful,powerful,POSITIVO,POSITIVO
@lobitogus,#gelp Todas buenas noticias Cowen!!! Se fue Tarragona Se fue Guiffrey (que pelotudo fuiste) Saravia no quiere estar más  Benja ni noticias  Sos un crackkkkkk!!!!!,"Jan 6, 2024 · 3:42 AM UTC",jealous,mad,NEGATIVO,NEGATIVO
@elmostrador,"🔴Por lobby, ”que se junten en la casa de un senador a conversar cosas en un ambiente más distendido que no esté la prensa para poder afinar las cuerdas, me parece válido. Debería transparentarse y ser normado”, Iván Weissman @ivanwese editor de El Mostrador Semanal  #JuntosyRevueltos con Fran Castillo https://www.youtube.com/watch?v=1QvBbg38UY8&ab_channel=ElMostrador","Jan 5, 2024 · 12:51 PM UTC",relaxed,peaceful,NEUTRO,NEUTRO
@anggelinaa97,Salvador la única persona que no la ha abrumado de versiones❤😒❤ #NadieComoTú,"Jan 5, 2024 · 10:38 PM UTC",embarrassed,scared,NEUTRO,NEGATIVO
@MauVega_Vivas,"Pelear con el marido, divorciarse de él, y luego andar mendigando algo de amor a sujetos mucho peores que  éste; esa es la lección y la paradoja del feminismo triunfante. 🌹","Jan 4, 2024 · 6:09 PM UTC",successful,powerful,NEGATIVO,POSITIVO
@D4RMXR,"Esperaría de Liam algo como eso... Tal vez por lo peculiar de su aura tan entusiasta. Siendo Killian el principal adepto a la pequeña y acogedora esquina, luceros dan con el caballero de oscuras hebras, sin llegar a alterar mucho de las neutras expresiones que prevalecen »","Jan 5, 2024 · 9:30 PM UTC",optimistic,joyful,POSITIVO,POSITIVO
@Nicolas370108,"Se emerge con una fuerza imparable, se despierta un coraje feroz y se consolida una confianza inquebrantable al encarar con valentía cada experiencia. Con determinación, aceptando todo desafío. Realizando no solo lo que se cree posible, sino también lo que se cree inalcanzable.","Jan 6, 2024 · 12:45 AM UTC",secure,peaceful,POSITIVO,NEUTRO
@deusmercurius,Llegué en Cartagena de Indias por trabajo de nuevo y sentí un cambio. Hay una autoridad trabajando y siento gente al menos optimista con un gobierno de la Ciudad con ganas de orden y obras.,"Jan 6, 2024 · 2:36 AM UTC",optimistic,joyful,POSITIVO,POSITIVO
@juanjorpas,Es un golazo pero la falta de contundencia (contundensia) es desesperante. El equipo se ha caído desde el empate y los cambios dignos de un demente han desconcertado aún más al equipo.,"Jan 3, 2024 · 10:26 PM UTC",stupid,sad,NEGATIVO,NEGATIVO
@Mar_HapPily,aprendi muchas palabras en turco gracias a #BambaşkaBiri,"Jan 6, 2024 · 3:39 AM UTC",thankful,peaceful,POSITIVO,NEUTRO
@EdurneUriarte,"La presidenta de Harvard, Claudine Gay, obligada a dimitir por plagio  El presidente de España, imperturbable en su puesto, sin que a nadie le importe su plagio","Jan 2, 2024 · 9:39 PM UTC",daring,joyful,NEGATIVO,POSITIVO
@Vespucio_Sur,"Informamos: Trabajos en pista derecha al oriente sector Camino Melipilla comuna de Cerrillos. Utilice pistas izquierda y central, conduzca precaución. Esté atento a la señalización en vía. #VespucioSur @biobio @radiocarab @TTISantiago @mop_chile @mop_rm","Jan 6, 2024 · 3:23 AM UTC",responsive,peaceful,NEUTRO,NEUTRO
@BerthaParedesM,"Mi osamenta está inquieta, desea desmoronarse y no sentir los sentires del cuerpo amodorrado...la mente bendita mente que no la deja descansar...vaya que lo necesita, mente ven a los brazos tibios de la sábana blanca que te arrullara... Insomnio escuchemos a  Tchaikovsky 🪽🎵😇😴","Oct 30, 2023 · 7:05 AM UTC",sleepy,sad,NEGATIVO,NEGATIVO
@kateserna12,"¿Por qué no pedí perdón? si ya me es indiferente quien se quedó con la razón. Yo te digo abiertamente que México duele cabrón, la Roma ya no se siente igual desde que tú estás con otra gente.","Jan 6, 2024 · 3:08 AM UTC",daring,joyful,NEGATIVO,NEGATIVO
@marceccg,"Y entonces aprendimos que si está desbordado y ni él se aguanta es por dos razones: hambre o sueño. Hoy resultó ser la segunda y ya, hijo dormido a las 8 p. m.  🥳","Jan 6, 2024 · 2:18 AM UTC",overwhelmed,scared,NEGATIVO,NEGATIVO
@GHwstan,🚨 Ultima ronda (vale doble): personaje de un dibujo animado sobre demonios que termina por convertirse en el corazón de su amo,"Jan 6, 2024 · 1:37 AM UTC",optimistic,joyful,NEUTRO,POSITIVO
@Byron0241,DIOOOOOOOOS TE AMO BOL BOL,"Jan 6, 2024 · 3:40 AM UTC",loving,peaceful,POSITIVO,NEUTRO
@_am4r0_,que peliculón rápido y furioso,"Jan 6, 2024 · 2:56 AM UTC",irritated,mad,POSITIVO,NEGATIVO
@Bruno_egr,"para mi suerte, soy alto resentido","Jan 6, 2024 · 3:49 AM UTC",jealous,mad,NEGATIVO,NEGATIVO
@PauliB456935,🎂🎂FELIZ CUMPLEAÑOS A LA MEJOR HERMANA AMIGA @CecyCarrizo4 Te amo infinitamente reina maga de mi 🤍 GRACIAS POR TANTO PERDON POR TAN POCO 🤍🤍🤍🤍,"Jan 6, 2024 · 3:39 AM UTC",thankful,peaceful,POSITIVO,POSITIVO
@accounttoventt,"Solo te pido una señal, un incentivo para poder seguir adelante en este camino que recorrí durante todo este tiempo, camino desorientador irregular pero esclarecedor, dame las fuerzas y la seguridad en mi para seguir aquí","Oct 21, 2023 · 4:57 AM UTC",stupid,sad,POSITIVO,NEGATIVO
@ElianaBxx,"Este año lo empecé súper irascible, todo y todos me molestan","Jan 5, 2024 · 3:53 PM UTC",irritated,mad,NEGATIVO,NEGATIVO
@solidarios_los,"¿Ha resuelto ya el Zendal de 600M de euros el problema de saturación de la sanidad pública y Ayuso está repartiendo mascarillas de su hermano gratis para los madrileños?  Viendo hospitales en Gaza, estamos aquí cómo para un bombardeo. Menuda vergüenza de saqueadores de lo público","Jan 6, 2024 · 2:55 AM UTC",confident,powerful,NEGATIVO,POSITIVO
@candmassa,"Xq no pedi perdón? si ya me es indiferente, quien se quedo con la razón?","Jan 6, 2024 · 1:31 AM UTC",daring,joyful,NEGATIVO,NEGATIVO
@paoruiz86,"Quiero reportar a @ChevroletMexico @GM por si pésimo servicio en cuanto al arreglo mecánico de mi vehículo, hace exactamente 2 años que saque una Captiva 2022 y en noviembre 2023  me falló de la transmisión, de cada 10 unidades Captiva 7 salen con ese detalle, no me han resuelto","Jan 6, 2024 · 2:18 AM UTC",secure,peaceful,NEGATIVO,POSITIVO
@dragon_ball_udo,Tengo ganas de dar un mega tour por los museos de la provincia pero una re paja el calor tienen que hacer un turno noche,"Jan 6, 2024 · 3:47 AM UTC",irritated,mad,NEGATIVO,NEGATIVO
